N_docs,NumComparisonsInsertion,NumComparisonsInsertionMean,ExecutionTimeInsertionMean,ExecutionTimeInsertion,NumComparisonsSearchMean,NumComparisonsSearchMax,ExecutionTimeSearchMean,ExecutionTimeSearchMax,TreeHeight,MaxBranch,MinBranch,NumNodes
40,95018,10,0.00100694,9.281,11,15,0.000456925,0.00291,14,14,9,4106
80,191011,10,0.000709947,12.6328,11,15,0.000444015,0.005864,14,14,9,6141
120,277927,10,0.000694497,17.6798,12,16,0.000439626,0.001306,15,15,9,7428
160,396985,11,0.000699511,25.0089,12,16,0.000492682,0.01213,15,15,9,8868
200,507752,11,0.000808846,36.6221,12,16,0.000452523,0.00452,15,15,9,9955
240,600929,11,0.000690234,36.7674,12,16,0.000448264,0.001308,15,15,10,10653
280,704137,11,0.000744875,46.2247,12,16,0.0004782,0.004934,15,15,10,11465
320,815440,11,0.000698403,49.9449,12,16,0.000461177,0.005712,15,15,10,12174
360,902136,11,0.000702935,55.4679,12,17,0.000461859,0.001956,16,16,10,12679
400,997959,11,0.000793108,69.0242,12,17,0.00047117,0.00401,16,16,10,13112
440,1102563,11,0.000703277,67.4351,13,17,0.000471107,0.01159,16,16,10,13601
480,1202547,11,0.000930017,97.0296,13,17,0.000478729,0.005132,16,16,10,14015
520,1307346,11,0.000721339,81.6181,13,17,0.000470326,0.005306,16,16,10,14410
560,1394247,11,0.000943747,113.738,13,17,0.000466134,0.002146,16,16,10,14678
600,1492518,11,0.000733808,94.5189,13,17,0.000487277,0.01013,16,16,10,14945
640,1619963,11,0.000740935,103.329,13,17,0.000475333,0.001904,16,16,10,15335
680,1734716,11,0.000787852,117.417,13,17,0.000496118,0.002176,16,16,10,15695
720,1846708,11,0.000717023,113.575,13,17,0.000477641,0.007272,16,16,10,15960
760,1936486,11,0.000716792,118.967,13,17,0.000491394,0.001668,16,16,10,16138
800,2035820,11,0.000704857,122.871,13,17,0.000656768,0.0175,16,16,10,16326
840,2142752,11,0.000707648,129.674,13,17,0.000686336,0.0672,16,16,10,16547
880,2254317,11,0.000734089,141.369,13,17,0.000658454,0.0389,16,16,10,16743
920,2373537,11,0.000811248,164.244,13,17,0.000756343,0.0217,16,16,10,17010
960,2484855,11,0.000751559,159.134,13,17,0.000723203,0.0331,16,16,10,17183
1000,2612215,11,0.000685269,152.328,13,17,0.000651983,0.0328,16,16,10,17402
